1,10125AAHF0099S,1,D/DB7G0000585668/BCDBXCJP42H7/10125AAHF0099S /000001/0000145.00/BBF/1/G/000/00
2,11125AAHF0099S,2,D/DB7G0000585668/BCDBXCJP42H7/11125AAHF0099S /000002/0000145.00/BBF/1/G/000/01
3,12125AAHF0099S,3,D/DB7G0000585668/BCDBXCJP42H7/12125AAHF0099S /000003/0000145.00/BBF/1/G/000/02
4,13125AAHF0099S,4,D/DB7G0000585668/BCDBXCJP42H7/13125AAHF0099S /000004/0000145.00/BBF/1/G/000/03
5,14125AAHF0099S,5,D/DB7G0000585668/BCDBXCJP42H7/14125AAHF0099S /000005/0000145.00/BBF/1/G/000/04
6,15125AAHF0099S,6,D/DB7G0000585668/BCDBXCJP42H7/15125AAHF0099S /000006/0000145.00/BBF/1/G/000/05
7,16125AAHF0099S,7,D/DB7G0000585668/BCDBXCJP42H7/16125AAHF0099S /000007/0000145.00/BBF/1/G/000/06
8,17125AAHF0099S,8,D/DB7G0000585668/BCDBXCJP42H7/17125AAHF0099S /000008/0000145.00/BBF/1/G/000/07
9,18125AAHF0099S,9,D/DB7G0000585668/BCDBXCJP42H7/18125AAHF0099S /000009/0000145.00/BBF/1/G/000/08
10,19125AAHF0099S,10,D/DB7G0000585668/BCDBXCJP42H7/19125AAHF0099S /000010/0000145.00/BBF/1/G/000/09
11,20125AAHF0099S,11,D/DB7G0000585668/BCDBXCJP42H7/20125AAHF0099S /000011/0000145.00/BBF/1/G/000/10
12,21125AAHF0099S,12,D/DB7G0000585668/BCDBXCJP42H7/21125AAHF0099S /000012/0000145.00/BBF/1/G/000/11
13,22125AAHF0099S,13,D/DB7G0000585668/BCDBXCJP42H7/22125AAHF0099S /000013/0000145.00/BBF/1/G/000/12
14,23125AAHF0099S,14,D/DB7G0000585668/BCDBXCJP42H7/23125AAHF0099S /000014/0000145.00/BBF/1/G/000/13
